loc,v(g),ev(g),iv(g),l,d,i,b,lOCode,lOComment,lOBlank,locCodeAndComment,uniq_Op,uniq_Opnd,total_Op,total_Opnd,branchCount,defects
5.0,1.0,1.0,1.0,0.33,3.0,13.29,0.01,3,0,0,0,6.0,5.0,7.0,5.0,1.0,False
9.0,1.0,1.0,1.0,0.25,4.0,15.78,0.02,6,0,1,0,5.0,5.0,11.0,7.0,1.0,False
11.0,2.0,1.0,2.0,0.15,6.6,11.42,0.03,7,0,1,0,8.0,5.0,13.0,7.0,3.0,False
10.0,2.0,1.0,2.0,0.11,9.0,11.35,0.04,7,0,1,0,9.0,6.0,18.0,12.0,3.0,False
9.0,1.0,1.0,1.0,0.17,6.0,17.56,0.04,6,0,1,0,11.0,6.0,17.0,8.0,1.0,False
19.0,3.0,1.0,3.0,0.11,9.5,23.28,0.08,14,0,2,0,11.0,11.0,32.0,19.0,5.0,False
10.0,3.0,1.0,1.0,0.14,7.14,13.88,0.03,8,0,0,0,9.0,7.0,15.0,10.0,5.0,False
15.0,2.0,1.0,2.0,0.16,6.25,31.27,0.08,12,0,1,0,10.0,14.0,27.0,21.0,3.0,False
9.0,1.0,1.0,1.0,0.2,4.81,22.64,0.04,5,0,2,0,7.0,7.0,15.0,11.0,1.0,False
15.0,1.0,1.0,1.0,0.11,9.0,13.54,0.04,6,0,5,0,11.0,5.0,19.0,10.0,1.0,False
105.0,1.0,1.0,1.0,0.05,21.23,78.8,0.49,79,0,23,0,8.0,26.0,143.0,127.0,1.0,False
20.0,6.0,5.0,4.0,0.07,15.0,27.28,0.13,15,0,1,0,15.0,15.0,47.0,30.0,11.0,False
32.0,8.0,1.0,4.0,0.03,37.3,17.14,0.22,27,0,3,0,15.0,10.0,74.0,54.0,15.0,False
32.0,5.0,1.0,4.0,0.05,18.21,24.86,0.15,25,0,4,0,14.0,14.0,59.0,35.0,9.0,False
53.0,10.0,1.0,5.0,0.04,28.47,26.05,0.26,26,0,13,0,22.0,17.0,94.0,44.0,11.0,False
21.0,2.0,1.0,2.0,0.1,9.69,23.77,0.08,15,0,4,0,12.0,13.0,32.0,21.0,3.0,False
20.0,2.0,1.0,2.0,0.07,14.55,15.69,0.08,15,0,2,0,16.0,11.0,31.0,20.0,3.0,False
10.0,1.0,1.0,1.0,0.18,5.6,21.93,0.04,6,0,3,0,8.0,10.0,18.0,14.0,1.0,False
24.0,4.0,3.0,3.0,0.05,18.42,18.73,0.12,14,0,6,0,17.0,14.0,45.0,26.0,7.0,False
26.0,3.0,1.0,3.0,0.08,12.92,24.05,0.1,15,1,2,0,14.0,17.0,34.0,30.0,5.0,False
14.0,3.0,1.0,3.0,0.13,8.0,15.56,0.04,11,0,1,0,8.0,6.0,21.0,12.0,5.0,False
14.0,2.0,1.0,1.0,0.09,11.0,14.29,0.05,11,0,1,0,11.0,7.0,21.0,16.0,5.0,False
22.0,3.0,1.0,3.0,0.13,7.8,20.31,0.06,15,0,3,0,12.0,10.0,22.0,14.0,5.0,False
25.0,3.0,1.0,3.0,0.06,16.67,27.05,0.14,17,0,4,0,16.0,18.0,49.0,35.0,5.0,False
28.0,1.0,1.0,1.0,0.11,9.33,38.56,0.12,16,2,6,0,8.0,15.0,44.0,36.0,1.0,False
22.0,3.0,3.0,1.0,0.08,12.46,22.11,0.09,12,0,3,0,13.0,12.0,37.0,21.0,5.0,False
